gym_name,location,membership_cost,amenities,website
Flex Nation 10,"Los Angeles, USA",$87,"Cardio, Massage, HIIT, Swimming Pool, Zumba",https://www.flexnation10.com
Iron Paradise 15,"New York, USA",$65,"Zumba, Weights, Personal Training",https://www.ironparadise15.com
PowerCore 75,"Berlin, Germany",$74,"Juice Bar, Group Classes, Sauna, CrossFit, Zumba",https://www.powercore75.com
PowerCore 84,"Toronto, Canada",$88,"Zumba, Showers, Sauna, Swimming Pool, CrossFit, Personal Training",https://www.powercore84.com
Beast Mode 86,"Cape Town, South Africa",R1103,"Personal Training, Showers, CrossFit, Cardio, Swimming Pool",https://www.beastmode86.com
Titan Gym 33,"Berlin, Germany",$59,"Showers, CrossFit, Massage, Weights, Yoga, Cardio",https://www.titangym33.com
PowerCore 3,"Sydney, Australia",$84,"CrossFit, Personal Training, Zumba, Weights, Juice Bar, HIIT",https://www.powercore3.com
Muscle Forge 6,"Sydney, Australia",$62,"Boxing, HIIT, Cardio, Sauna, Swimming Pool",https://www.muscleforge6.com
Titan Gym 49,"Nairobi, Kenya",$45,"Group Classes, Showers, Sauna, Personal Training",https://www.titangym49.com
Iron Paradise 75,"Los Angeles, USA",$81,"Group Classes, Massage, Showers, Yoga, Zumba, Boxing",https://www.ironparadise75.com
PowerCore 9,"Cape Town, South Africa",R624,"Group Classes, Massage, HIIT, Zumba, Showers, Yoga",https://www.powercore9.com
Muscle Forge 91,"Lagos, Nigeria",₦39364,"CrossFit, Sauna, Boxing",https://www.muscleforge91.com
AlphaFit 10,"London, UK",£60,"CrossFit, Swimming Pool, Sauna, Cardio, Personal Training, Zumba",https://www.alphafit10.com
PowerCore 51,"Dubai, UAE",AED 331,"Boxing, Weights, Massage",https://www.powercore51.com
PowerCore 2,"Toronto, Canada",$88,"Juice Bar, Swimming Pool, HIIT, Zumba, Personal Training, CrossFit",https://www.powercore2.com
Muscle Forge 41,"New York, USA",$60,"Cardio, Weights, Zumba, Yoga, HIIT, Juice Bar",https://www.muscleforge41.com
Muscle Forge 60,"Berlin, Germany",$67,"Massage, Swimming Pool, Group Classes, Sauna, HIIT, CrossFit",https://www.muscleforge60.com
Flex Nation 27,"Berlin, Germany",$42,"Showers, Swimming Pool, Boxing, Yoga, Weights",https://www.flexnation27.com
Fit Republic 80,"Los Angeles, USA",$46,"Swimming Pool, Zumba, CrossFit, Sauna, Yoga",https://www.fitrepublic80.com
Iron Paradise 42,"Berlin, Germany",$86,"Weights, Juice Bar, Cardio, Personal Training, HIIT, Massage",https://www.ironparadise42.com
Pulse Fitness 49,"Dubai, UAE",AED 493,"Swimming Pool, Yoga, HIIT",https://www.pulsefitness49.com
Beast Mode 49,"Sydney, Australia",$49,"Group Classes, Zumba, Personal Training, Boxing",https://www.beastmode49.com
Beast Mode 22,"New York, USA",$76,"Yoga, Group Classes, Swimming Pool, Zumba, Juice Bar, Personal Training",https://www.beastmode22.com
Pulse Fitness 18,"Toronto, Canada",$56,"Sauna, Group Classes, Swimming Pool",https://www.pulsefitness18.com
Flex Nation 42,"Dubai, UAE",AED 470,"Group Classes, Juice Bar, Massage, Cardio, Swimming Pool",https://www.flexnation42.com
AlphaFit 17,"Berlin, Germany",$50,"Yoga, Cardio, Juice Bar, Personal Training",https://www.alphafit17.com
AlphaFit 98,"Lagos, Nigeria",₦21892,"Cardio, Weights, Swimming Pool, HIIT",https://www.alphafit98.com
Beast Mode 12,"Los Angeles, USA",$82,"HIIT, Cardio, Swimming Pool, Personal Training",https://www.beastmode12.com
Beast Mode 66,"Sydney, Australia",$50,"Swimming Pool, Zumba, Cardio, CrossFit",https://www.beastmode66.com
Fit Republic 16,"New York, USA",$60,"Juice Bar, Group Classes, Showers",https://www.fitrepublic16.com
Titan Gym 84,"London, UK",£67,"Yoga, CrossFit, Cardio",https://www.titangym84.com
Flex Nation 84,"New York, USA",$40,"Massage, Boxing, Zumba, HIIT, Sauna, CrossFit",https://www.flexnation84.com
Beast Mode 61,"Toronto, Canada",$74,"Sauna, CrossFit, HIIT",https://www.beastmode61.com
AlphaFit 80,"Berlin, Germany",$70,"Massage, Weights, HIIT",https://www.alphafit80.com
Beast Mode 67,"Los Angeles, USA",$73,"Swimming Pool, Weights, Cardio, Boxing",https://www.beastmode67.com
Beast Mode 70,"Dubai, UAE",AED 403,"HIIT, CrossFit, Group Classes, Cardio",https://www.beastmode70.com
Core Strength 35,"Toronto, Canada",$89,"Cardio, Sauna, Group Classes, Personal Training",https://www.corestrength35.com
Muscle Forge 46,"Nairobi, Kenya",$46,"Personal Training, CrossFit, Swimming Pool, Showers, Sauna, Group Classes",https://www.muscleforge46.com
Fit Republic 2,"Berlin, Germany",$45,"Zumba, Juice Bar, Personal Training, Boxing, Weights",https://www.fitrepublic2.com
Beast Mode 27,"Lagos, Nigeria",₦31979,"Yoga, Cardio, Juice Bar, Weights, Showers, Personal Training",https://www.beastmode27.com
Iron Paradise 76,"Sydney, Australia",$89,"HIIT, Group Classes, Yoga, Sauna, Personal Training",https://www.ironparadise76.com
PowerCore 67,"Lagos, Nigeria",₦35105,"Personal Training, Sauna, Cardio",https://www.powercore67.com
Titan Gym 12,"Los Angeles, USA",$60,"Showers, Sauna, Group Classes",https://www.titangym12.com
Iron Paradise 61,"Los Angeles, USA",$93,"Personal Training, Group Classes, Cardio, Boxing, Zumba, Massage",https://www.ironparadise61.com
Pulse Fitness 14,"New York, USA",$62,"Juice Bar, Group Classes, Yoga",https://www.pulsefitness14.com
Flex Nation 44,"Sydney, Australia",$65,"Swimming Pool, Cardio, Massage, Group Classes",https://www.flexnation44.com
Flex Nation 86,"Nairobi, Kenya",$79,"Showers, Cardio, Massage, Group Classes, Swimming Pool",https://www.flexnation86.com
Beast Mode 89,"Dubai, UAE",AED 462,"Personal Training, Swimming Pool, Massage, Cardio, CrossFit",https://www.beastmode89.com
Fit Republic 81,"Cape Town, South Africa",R1123,"Personal Training, CrossFit, Group Classes, Juice Bar, Showers",https://www.fitrepublic81.com
AlphaFit 29,"Nairobi, Kenya",$87,"Swimming Pool, CrossFit, Weights, Group Classes",https://www.alphafit29.com
Pulse Fitness 11,"Sydney, Australia",$72,"Weights, Zumba, Swimming Pool, Group Classes, HIIT, Sauna",https://www.pulsefitness11.com
Core Strength 85,"Cape Town, South Africa",R895,"Swimming Pool, Sauna, Weights, CrossFit, Personal Training, Zumba",https://www.corestrength85.com
AlphaFit 75,"Toronto, Canada",$67,"Sauna, HIIT, Yoga, Weights, Juice Bar, Personal Training",https://www.alphafit75.com
Core Strength 8,"Lagos, Nigeria",₦38542,"Yoga, Group Classes, Cardio, CrossFit",https://www.corestrength8.com
Titan Gym 80,"London, UK",£38,"Juice Bar, Massage, Cardio, Showers, Group Classes, Yoga",https://www.titangym80.com
AlphaFit 92,"Cape Town, South Africa",R847,"Juice Bar, Sauna, Weights, Showers",https://www.alphafit92.com
Beast Mode 31,"Berlin, Germany",$50,"Sauna, Personal Training, CrossFit",https://www.beastmode31.com
AlphaFit 17,"London, UK",£61,"CrossFit, Massage, Swimming Pool, Boxing, Group Classes",https://www.alphafit17.com
PowerCore 95,"Berlin, Germany",$86,"CrossFit, HIIT, Cardio, Yoga",https://www.powercore95.com
Fit Republic 98,"Nairobi, Kenya",$64,"Cardio, Zumba, Swimming Pool, Group Classes, Weights, Massage",https://www.fitrepublic98.com
Fit Republic 97,"Sydney, Australia",$61,"Swimming Pool, HIIT, Group Classes, Cardio, Weights",https://www.fitrepublic97.com
AlphaFit 60,"Dubai, UAE",AED 396,"Boxing, Yoga, HIIT, Swimming Pool",https://www.alphafit60.com
Beast Mode 27,"Toronto, Canada",$80,"HIIT, CrossFit, Juice Bar",https://www.beastmode27.com
AlphaFit 44,"Los Angeles, USA",$59,"Cardio, Boxing, Personal Training, Yoga",https://www.alphafit44.com
Muscle Forge 80,"Nairobi, Kenya",$90,"Weights, Personal Training, Zumba, Sauna",https://www.muscleforge80.com
Beast Mode 15,"Berlin, Germany",$40,"Zumba, Weights, Massage, Group Classes, Sauna, Cardio",https://www.beastmode15.com
Iron Paradise 90,"Cape Town, South Africa",R1048,"Swimming Pool, Zumba, Showers, Boxing, Group Classes",https://www.ironparadise90.com
Pulse Fitness 100,"Lagos, Nigeria",₦18494,"Weights, HIIT, Yoga, Massage, Zumba, Personal Training",https://www.pulsefitness100.com
Flex Nation 21,"Berlin, Germany",$40,"Showers, Sauna, CrossFit, Group Classes, Massage",https://www.flexnation21.com
Iron Paradise 94,"London, UK",£58,"Personal Training, Showers, Massage",https://www.ironparadise94.com
Titan Gym 41,"Lagos, Nigeria",₦33253,"Cardio, Massage, Boxing, Juice Bar, CrossFit",https://www.titangym41.com
Titan Gym 39,"New York, USA",$34,"Yoga, Swimming Pool, Boxing, Juice Bar, HIIT, CrossFit",https://www.titangym39.com
Pulse Fitness 74,"Cape Town, South Africa",R688,"Weights, Swimming Pool, Yoga",https://www.pulsefitness74.com
Pulse Fitness 83,"London, UK",£50,"Yoga, Massage, Zumba, Cardio, Swimming Pool",https://www.pulsefitness83.com
Pulse Fitness 91,"Cape Town, South Africa",R1191,"CrossFit, Showers, HIIT, Zumba, Massage, Group Classes",https://www.pulsefitness91.com
PowerCore 30,"Sydney, Australia",$65,"HIIT, Zumba, Juice Bar, Boxing, CrossFit",https://www.powercore30.com
Muscle Forge 1,"Toronto, Canada",$84,"HIIT, Swimming Pool, Boxing, CrossFit, Massage",https://www.muscleforge1.com
Flex Nation 57,"Nairobi, Kenya",$68,"Cardio, Sauna, Massage, Group Classes, HIIT, Weights",https://www.flexnation57.com
Titan Gym 37,"Sydney, Australia",$56,"Cardio, Zumba, Group Classes",https://www.titangym37.com
Fit Republic 72,"Cape Town, South Africa",R691,"Cardio, Zumba, Swimming Pool",https://www.fitrepublic72.com
Pulse Fitness 64,"Berlin, Germany",$65,"HIIT, Weights, CrossFit",https://www.pulsefitness64.com
Pulse Fitness 20,"Dubai, UAE",AED 483,"CrossFit, Swimming Pool, Juice Bar, Personal Training, Showers",https://www.pulsefitness20.com
Flex Nation 6,"Berlin, Germany",$59,"Personal Training, Yoga, HIIT, Group Classes, Showers, Juice Bar",https://www.flexnation6.com
PowerCore 28,"Nairobi, Kenya",$84,"CrossFit, Group Classes, Showers, Massage, Boxing",https://www.powercore28.com
Fit Republic 2,"New York, USA",$65,"Personal Training, Showers, Massage",https://www.fitrepublic2.com
AlphaFit 47,"New York, USA",$68,"Personal Training, Showers, Massage, Yoga, Zumba, Cardio",https://www.alphafit47.com
Muscle Forge 34,"Los Angeles, USA",$55,"Showers, Sauna, CrossFit, Cardio, HIIT, Juice Bar",https://www.muscleforge34.com
Fit Republic 85,"Lagos, Nigeria",₦37393,"Zumba, Weights, Personal Training, Massage",https://www.fitrepublic85.com
Pulse Fitness 82,"Nairobi, Kenya",$54,"Cardio, Boxing, Zumba",https://www.pulsefitness82.com
Muscle Forge 2,"Dubai, UAE",AED 367,"Personal Training, Cardio, Yoga, Showers",https://www.muscleforge2.com
Fit Republic 78,"Los Angeles, USA",$83,"Yoga, Group Classes, Personal Training",https://www.fitrepublic78.com
PowerCore 51,"Lagos, Nigeria",₦34144,"Sauna, HIIT, Group Classes, Zumba, Cardio, Boxing",https://www.powercore51.com
Pulse Fitness 85,"New York, USA",$35,"Sauna, Massage, Zumba, Showers, Cardio",https://www.pulsefitness85.com
Beast Mode 40,"Los Angeles, USA",$99,"Group Classes, HIIT, Yoga, Cardio, Massage, Personal Training",https://www.beastmode40.com
PowerCore 38,"Cape Town, South Africa",R997,"Swimming Pool, Massage, Boxing",https://www.powercore38.com
Iron Paradise 19,"Dubai, UAE",AED 292,"Weights, Showers, Juice Bar",https://www.ironparadise19.com
Flex Nation 91,"Cape Town, South Africa",R896,"CrossFit, Swimming Pool, HIIT, Group Classes, Weights",https://www.flexnation91.com
Fit Republic 80,"Sydney, Australia",$53,"Zumba, Yoga, Weights, Cardio, HIIT",https://www.fitrepublic80.com
Beast Mode 94,"Berlin, Germany",$67,"Weights, Swimming Pool, Massage",https://www.beastmode94.com
Pulse Fitness 70,"Berlin, Germany",$76,"HIIT, Boxing, CrossFit",https://www.pulsefitness70.com
Beast Mode 18,"Berlin, Germany",$85,"Weights, Personal Training, Juice Bar",https://www.beastmode18.com
Muscle Forge 8,"New York, USA",$88,"Weights, Zumba, Sauna, Personal Training",https://www.muscleforge8.com
Core Strength 53,"Dubai, UAE",AED 251,"Boxing, Cardio, Juice Bar, Zumba, Weights",https://www.corestrength53.com
Beast Mode 77,"Nairobi, Kenya",$86,"Zumba, Cardio, Yoga, Group Classes, Showers, Juice Bar",https://www.beastmode77.com
Beast Mode 46,"Toronto, Canada",$43,"Group Classes, Juice Bar, Swimming Pool",https://www.beastmode46.com
Flex Nation 89,"Los Angeles, USA",$41,"Cardio, CrossFit, Showers, HIIT",https://www.flexnation89.com
PowerCore 99,"Sydney, Australia",$48,"Boxing, Weights, Juice Bar",https://www.powercore99.com
Pulse Fitness 32,"Cape Town, South Africa",R641,"Group Classes, Yoga, Massage",https://www.pulsefitness32.com
Pulse Fitness 32,"London, UK",£56,"Juice Bar, Swimming Pool, Weights",https://www.pulsefitness32.com
Beast Mode 4,"London, UK",£57,"Zumba, Group Classes, Weights, CrossFit, HIIT, Juice Bar",https://www.beastmode4.com
Titan Gym 19,"London, UK",£54,"CrossFit, Boxing, Yoga, Showers, Group Classes, Zumba",https://www.titangym19.com
Muscle Forge 26,"London, UK",£67,"Juice Bar, Cardio, Boxing, Showers, HIIT",https://www.muscleforge26.com
PowerCore 36,"Toronto, Canada",$84,"Zumba, Group Classes, Weights, Boxing",https://www.powercore36.com
Core Strength 82,"Lagos, Nigeria",₦26763,"Weights, CrossFit, Sauna, Swimming Pool",https://www.corestrength82.com
PowerCore 21,"Toronto, Canada",$79,"Swimming Pool, Cardio, Weights, HIIT, Yoga, CrossFit",https://www.powercore21.com
Muscle Forge 86,"New York, USA",$33,"Juice Bar, Boxing, Cardio",https://www.muscleforge86.com
Fit Republic 39,"Cape Town, South Africa",R781,"Group Classes, Yoga, Cardio, Boxing",https://www.fitrepublic39.com
PowerCore 33,"Sydney, Australia",$44,"Weights, Group Classes, Sauna",https://www.powercore33.com
Iron Paradise 15,"Berlin, Germany",$84,"Personal Training, Showers, Boxing, Juice Bar",https://www.ironparadise15.com
Iron Paradise 41,"Los Angeles, USA",$95,"Group Classes, Boxing, Massage, Zumba",https://www.ironparadise41.com
Fit Republic 10,"Berlin, Germany",$70,"Weights, HIIT, Yoga",https://www.fitrepublic10.com
Titan Gym 92,"Cape Town, South Africa",R833,"Group Classes, Swimming Pool, HIIT, CrossFit, Cardio",https://www.titangym92.com
Fit Republic 95,"London, UK",£38,"Group Classes, Boxing, CrossFit, Personal Training, Massage, Zumba",https://www.fitrepublic95.com
AlphaFit 51,"Dubai, UAE",AED 494,"Weights, Showers, Personal Training, Sauna",https://www.alphafit51.com
Titan Gym 62,"Lagos, Nigeria",₦29249,"Group Classes, Zumba, Juice Bar, Sauna, CrossFit",https://www.titangym62.com
Pulse Fitness 10,"New York, USA",$79,"Massage, Weights, Yoga, Personal Training",https://www.pulsefitness10.com
Iron Paradise 11,"New York, USA",$34,"Weights, Boxing, Group Classes, Personal Training, Sauna, Showers",https://www.ironparadise11.com
Beast Mode 7,"Lagos, Nigeria",₦21032,"Juice Bar, Personal Training, Showers, CrossFit",https://www.beastmode7.com
Beast Mode 100,"London, UK",£61,"Sauna, Personal Training, Showers, CrossFit, HIIT, Massage",https://www.beastmode100.com
Core Strength 91,"Sydney, Australia",$56,"Boxing, Juice Bar, CrossFit, Cardio, Swimming Pool",https://www.corestrength91.com
Pulse Fitness 6,"Berlin, Germany",$69,"Cardio, Yoga, Weights, Zumba",https://www.pulsefitness6.com
Muscle Forge 32,"London, UK",£38,"Massage, Weights, Group Classes, Sauna, CrossFit",https://www.muscleforge32.com
Flex Nation 11,"London, UK",£50,"Zumba, Boxing, HIIT, Weights, Personal Training, Cardio",https://www.flexnation11.com
AlphaFit 94,"Sydney, Australia",$83,"CrossFit, Group Classes, Zumba, Swimming Pool, Sauna",https://www.alphafit94.com
Flex Nation 32,"Toronto, Canada",$60,"Boxing, Sauna, Juice Bar, Swimming Pool",https://www.flexnation32.com
Titan Gym 98,"Lagos, Nigeria",₦25860,"CrossFit, Personal Training, HIIT, Massage, Yoga",https://www.titangym98.com
PowerCore 49,"Berlin, Germany",$58,"Yoga, Weights, HIIT, Group Classes",https://www.powercore49.com
Muscle Forge 22,"London, UK",£29,"Group Classes, Personal Training, Cardio",https://www.muscleforge22.com
Core Strength 99,"New York, USA",$57,"Juice Bar, Group Classes, Yoga",https://www.corestrength99.com
Muscle Forge 45,"Cape Town, South Africa",R1084,"Swimming Pool, Cardio, Yoga, Sauna, Weights",https://www.muscleforge45.com
Flex Nation 80,"Lagos, Nigeria",₦36022,"Juice Bar, Personal Training, Cardio, Weights, Zumba, HIIT",https://www.flexnation80.com
Fit Republic 64,"Cape Town, South Africa",R961,"Massage, Group Classes, Showers",https://www.fitrepublic64.com
Core Strength 34,"Toronto, Canada",$46,"Massage, HIIT, Weights",https://www.corestrength34.com
Pulse Fitness 88,"Toronto, Canada",$63,"Personal Training, Group Classes, Sauna, Juice Bar",https://www.pulsefitness88.com
Flex Nation 96,"Los Angeles, USA",$69,"Zumba, HIIT, Cardio, Juice Bar, Boxing",https://www.flexnation96.com
PowerCore 42,"Nairobi, Kenya",$86,"Yoga, Group Classes, Weights, Sauna, Showers, Massage",https://www.powercore42.com
Titan Gym 77,"Nairobi, Kenya",$60,"Group Classes, Zumba, Cardio, Swimming Pool",https://www.titangym77.com
Flex Nation 70,"New York, USA",$52,"HIIT, Group Classes, Weights, Juice Bar, Personal Training, Massage",https://www.flexnation70.com
Fit Republic 21,"Toronto, Canada",$71,"Boxing, Juice Bar, Massage, Cardio",https://www.fitrepublic21.com
Iron Paradise 46,"Berlin, Germany",$40,"Group Classes, Sauna, CrossFit",https://www.ironparadise46.com
Iron Paradise 76,"Los Angeles, USA",$61,"HIIT, Showers, Juice Bar, CrossFit, Boxing",https://www.ironparadise76.com
PowerCore 38,"London, UK",£44,"Boxing, Showers, Personal Training, Massage",https://www.powercore38.com
Beast Mode 35,"New York, USA",$81,"Group Classes, Swimming Pool, Cardio",https://www.beastmode35.com
Flex Nation 3,"New York, USA",$57,"Cardio, HIIT, Massage, Personal Training",https://www.flexnation3.com
Beast Mode 35,"Los Angeles, USA",$45,"HIIT, Yoga, Cardio, Swimming Pool, Showers, Personal Training",https://www.beastmode35.com
Titan Gym 11,"New York, USA",$34,"HIIT, Juice Bar, Massage, Boxing, Showers",https://www.titangym11.com
Pulse Fitness 24,"Sydney, Australia",$89,"HIIT, Juice Bar, Swimming Pool, Massage, Cardio, Zumba",https://www.pulsefitness24.com
Flex Nation 86,"Sydney, Australia",$89,"Boxing, Showers, Yoga",https://www.flexnation86.com
Core Strength 59,"Los Angeles, USA",$79,"Swimming Pool, Showers, Boxing, Cardio, Juice Bar",https://www.corestrength59.com
Fit Republic 22,"Sydney, Australia",$80,"Boxing, CrossFit, Cardio, Group Classes, Zumba",https://www.fitrepublic22.com
Muscle Forge 99,"Lagos, Nigeria",₦27037,"Massage, Juice Bar, Personal Training, Zumba, HIIT, Boxing",https://www.muscleforge99.com
Flex Nation 27,"Dubai, UAE",AED 390,"HIIT, Swimming Pool, CrossFit, Boxing",https://www.flexnation27.com
AlphaFit 21,"Toronto, Canada",$68,"CrossFit, Boxing, Group Classes, Massage, Showers",https://www.alphafit21.com
Core Strength 92,"London, UK",£33,"Juice Bar, CrossFit, Weights, Showers, Yoga, Personal Training",https://www.corestrength92.com
Beast Mode 74,"Berlin, Germany",$82,"Yoga, Group Classes, Swimming Pool",https://www.beastmode74.com
Beast Mode 50,"Berlin, Germany",$85,"CrossFit, Juice Bar, HIIT, Zumba, Cardio",https://www.beastmode50.com
Core Strength 56,"Los Angeles, USA",$58,"HIIT, Personal Training, Massage, Juice Bar, CrossFit, Swimming Pool",https://www.corestrength56.com
Beast Mode 23,"Dubai, UAE",AED 238,"Swimming Pool, Group Classes, Massage, Showers, Sauna",https://www.beastmode23.com
Titan Gym 74,"Sydney, Australia",$44,"Zumba, Yoga, Sauna, HIIT, Weights, Massage",https://www.titangym74.com
AlphaFit 99,"Nairobi, Kenya",$58,"Cardio, Sauna, HIIT",https://www.alphafit99.com
AlphaFit 88,"Sydney, Australia",$40,"Juice Bar, Weights, Group Classes, Showers, Sauna",https://www.alphafit88.com
Muscle Forge 54,"New York, USA",$66,"Showers, Weights, Boxing, Massage, Sauna",https://www.muscleforge54.com
Pulse Fitness 79,"New York, USA",$71,"Group Classes, Yoga, Weights, Swimming Pool, Cardio, Sauna",https://www.pulsefitness79.com
Beast Mode 38,"Berlin, Germany",$66,"Zumba, CrossFit, Personal Training, Cardio, Juice Bar, HIIT",https://www.beastmode38.com
Iron Paradise 90,"Cape Town, South Africa",R601,"CrossFit, Personal Training, Juice Bar, Cardio",https://www.ironparadise90.com
Beast Mode 58,"Lagos, Nigeria",₦33324,"Group Classes, Swimming Pool, Massage, Weights, HIIT, CrossFit",https://www.beastmode58.com
Muscle Forge 80,"London, UK",£65,"HIIT, CrossFit, Boxing",https://www.muscleforge80.com
Muscle Forge 94,"London, UK",£59,"Group Classes, CrossFit, Cardio",https://www.muscleforge94.com
Core Strength 40,"London, UK",£46,"CrossFit, HIIT, Juice Bar, Sauna, Yoga",https://www.corestrength40.com
Iron Paradise 88,"Sydney, Australia",$51,"Showers, Weights, Cardio",https://www.ironparadise88.com
Muscle Forge 60,"Berlin, Germany",$82,"Juice Bar, Massage, CrossFit, Yoga, Weights",https://www.muscleforge60.com
PowerCore 43,"Dubai, UAE",AED 392,"HIIT, Zumba, Group Classes, Showers",https://www.powercore43.com
Muscle Forge 86,"New York, USA",$71,"CrossFit, Personal Training, Showers, Weights",https://www.muscleforge86.com
PowerCore 95,"Toronto, Canada",$77,"Yoga, Boxing, Swimming Pool, Zumba, Sauna",https://www.powercore95.com
Fit Republic 11,"Lagos, Nigeria",₦22571,"Boxing, Sauna, Cardio",https://www.fitrepublic11.com
Beast Mode 83,"Sydney, Australia",$89,"Showers, Sauna, Swimming Pool, Juice Bar, Weights, Boxing",https://www.beastmode83.com
AlphaFit 24,"Dubai, UAE",AED 442,"Showers, HIIT, Sauna, Juice Bar",https://www.alphafit24.com
Titan Gym 14,"Los Angeles, USA",$82,"HIIT, Weights, Personal Training, Showers, Yoga, Boxing",https://www.titangym14.com
Titan Gym 88,"Lagos, Nigeria",₦32821,"CrossFit, Showers, Weights, Zumba, Sauna, Juice Bar",https://www.titangym88.com
Core Strength 80,"New York, USA",$97,"Group Classes, Cardio, Massage, Yoga, CrossFit, Zumba",https://www.corestrength80.com
Pulse Fitness 52,"Nairobi, Kenya",$40,"Sauna, Massage, Showers, Boxing, Cardio",https://www.pulsefitness52.com
Pulse Fitness 21,"Cape Town, South Africa",R603,"Boxing, Swimming Pool, Juice Bar, Weights, Yoga",https://www.pulsefitness21.com
Flex Nation 99,"Lagos, Nigeria",₦17316,"Swimming Pool, Cardio, Showers",https://www.flexnation99.com
Fit Republic 33,"Lagos, Nigeria",₦22025,"Showers, Weights, Massage, Boxing, Swimming Pool",https://www.fitrepublic33.com
Muscle Forge 47,"Los Angeles, USA",$65,"Weights, HIIT, Group Classes, Swimming Pool, Personal Training, CrossFit",https://www.muscleforge47.com
Titan Gym 94,"Sydney, Australia",$50,"Sauna, Zumba, Weights, Cardio, Massage, Boxing",https://www.titangym94.com
Fit Republic 64,"Berlin, Germany",$41,"Yoga, Massage, Showers, CrossFit",https://www.fitrepublic64.com
Flex Nation 95,"Dubai, UAE",AED 293,"Boxing, Zumba, Sauna, CrossFit, Group Classes",https://www.flexnation95.com
Core Strength 95,"Dubai, UAE",AED 315,"Zumba, Juice Bar, Cardio, CrossFit",https://www.corestrength95.com
Iron Paradise 36,"Cape Town, South Africa",R920,"Personal Training, HIIT, Showers, Juice Bar",https://www.ironparadise36.com
Muscle Forge 38,"Sydney, Australia",$77,"Zumba, Sauna, HIIT",https://www.muscleforge38.com
Iron Paradise 32,"Lagos, Nigeria",₦17041,"Sauna, Juice Bar, Zumba, Boxing, HIIT, CrossFit",https://www.ironparadise32.com
